EwEVersion,"6.6.8.18072 (compiled 11/4/2022)"
Date,"1/5/2024 1:21:45 PM"
ModelName,"NWACS AM 7ages"
EcosimScenario,base_run
TimeSeries,"copyUpdated NWACS MICE 5 v2-1-6-Time series grid"
StartYear,1985

Data,Biomass

year\group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
1985,0.008946829,0.03704343,0.01971618,0.2959914,0.9891165,0.8059248,0.341554,0.1216563,0.04525461,0.0333908,0.2715799,0.002751274,0.1979161,0.001229569,0.01274361,0.008175339,0.1598123,0.2733757,14.54466,13.55081,8.59658,12.9745
1986,0.01003957,0.03866915,0.02263699,0.3124619,1.021468,0.841935,0.3809997,0.1350509,0.05363424,0.03773319,0.272123,0.002135507,0.1374458,0.00124323,0.01243396,0.01087576,0.1833696,0.2795278,14.53905,13.53001,8.599883,12.97577
1987,0.0116085,0.04115857,0.02719805,0.3051757,1.048899,0.8658174,0.3949137,0.1476732,0.058014,0.04279248,0.2735907,0.001266308,0.09255891,0.001251654,0.01256818,0.01136612,0.2312351,0.2857951,14.5251,13.51734,8.603222,12.97754
1988,0.01406492,0.04503648,0.03135321,0.2917908,1.02784,0.8876051,0.4060456,0.1524221,0.06265195,0.04702555,0.2762108,0.002279737,0.07540805,0.001273823,0.01174545,0.01607902,0.2800699,0.2915043,14.50311,13.51418,8.605251,12.97895
1989,0.01692214,0.05006953,0.03688107,0.2747685,0.9969289,0.8723688,0.4141664,0.1557944,0.06419571,0.05122535,0.2802202,0.002406808,0.08568241,0.001179107,0.01134978,0.02067329,0.3495189,0.2865402,14.47149,13.51698,8.606658,12.97996
1990,0.01946448,0.05629948,0.04610578,0.2649637,0.9445142,0.7969675,0.3748299,0.1516936,0.0638952,0.05341636,0.2860689,0.002497609,0.09915835,0.001090715,0.01185126,0.02434119,0.4473968,0.2658956,14.43248,13.52754,8.607024,12.97917
1991,0.02362764,0.06325823,0.05776627,0.2783973,0.9315565,0.751241,0.3314042,0.1370177,0.06225525,0.05393843,0.2941191,0.002093667,0.1037389,0.001030271,0.01115322,0.02987151,0.5512339,0.2323499,14.38835,13.53356,8.606753,12.97694
1992,0.02908754,0.07211446,0.07228082,0.3066193,0.9727114,0.7218137,0.3058239,0.1213125,0.05683791,0.05314222,0.3041126,0.002009716,0.1046686,0.0009058427,0.009954758,0.03511875,0.6426146,0.1952514,14.34401,13.5228,8.608856,12.97517
1993,0.03553396,0.08185709,0.0888656,0.3115391,0.9986442,0.6931303,0.2640134,0.1060184,0.04959412,0.04945039,0.3154136,0.002130927,0.1054143,0.0008010503,0.009445708,0.03907604,0.7214636,0.1589096,14.30198,13.51927,8.610913,12.97413
1994,0.04263776,0.09215226,0.1057438,0.2976043,0.9811692,0.6762342,0.2336545,0.08862446,0.04324043,0.0439669,0.3275293,0.001955601,0.1054158,0.0007257247,0.008964888,0.0423937,0.7875376,0.1269809,14.25994,13.52944,8.611008,12.97305
