EwEVersion,"6.6.8.18072 (compiled 11/4/2022)"
Date,"1/5/2024 1:21:45 PM"
ModelName,"NWACS AM 7ages"
EcosimScenario,base_run
TimeSeries,"copyUpdated NWACS MICE 5 v2-1-6-Time series grid"
StartYear,1985

Data,Catch

timestep\group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
1,1.599215E-06,0.003242878,0.003242763,7.095558E-05,0.00286485,0.009519319,0.002705917,0.0004189335,6.46297E-05,2.074141E-05,0.005142007,0.004282598,0.06108069,1.329251E-05,0.002820159,0.003737559,0.05980214,0,0,0,0,0
2,1.614206E-06,0.00325497,0.00327393,7.106223E-05,0.002877865,0.009652784,0.002739118,0.0004279981,6.579648E-05,2.099267E-05,0.005142079,0.003913579,0.06003768,1.330467E-05,0.00282075,0.003716636,0.06045796,0,0,0,0,0
3,1.62923E-06,0.003267041,0.003305882,7.117853E-05,0.002889109,0.009768939,0.002772487,0.00043616,6.69903E-05,2.123952E-05,0.005142215,0.0035934,0.05903212,1.331703E-05,0.002821665,0.003696678,0.06110179,0,0,0,0,0
4,1.644379E-06,0.003279109,0.003338562,7.131173E-05,0.00289887,0.009870043,0.002806006,0.0004435058,6.820908E-05,2.148204E-05,0.005142413,0.003316435,0.05806325,1.333004E-05,0.002822918,0.003678506,0.06173201,0,0,0,0,0
5,1.659695E-06,0.003291195,0.003371916,7.147318E-05,0.00290737,0.009958021,0.002839695,0.0004501097,6.945177E-05,2.172027E-05,0.005142672,0.003078623,0.05713014,1.334376E-05,0.002824515,0.003663342,0.06234708,0,0,0,0,0
6,1.675193E-06,0.00330332,0.0034059,7.1677E-05,0.002914779,0.01003451,0.002873603,0.000456036,7.07182E-05,2.195423E-05,0.005142989,0.002877174,0.05623178,1.335803E-05,0.002826459,0.003652706,0.06294557,0,0,0,0,0
7,1.690876E-06,0.003315508,0.003440477,7.193798E-05,0.002921225,0.01010092,0.002907797,0.00046134,7.200874E-05,2.218395E-05,0.005143364,0.002710209,0.05536709,1.337254E-05,0.002828746,0.003648283,0.06352618,0,0,0,0,0
8,1.706741E-06,0.003327783,0.003475618,7.226949E-05,0.002926804,0.01015843,0.002942354,0.0004660693,7.332425E-05,2.240944E-05,0.005143797,0.002576401,0.05453499,1.33869E-05,0.002831371,0.003651818,0.06408771,0,0,0,0,0
9,1.722784E-06,0.003340167,0.0035113,7.268188E-05,0.002931585,0.01020807,0.00297736,0.0004702651,7.466591E-05,2.263069E-05,0.005144285,0.002474655,0.05373441,1.340072E-05,0.002834323,0.003665021,0.06462907,0,0,0,0,0
10,1.739001E-06,0.003352683,0.003547505,7.318124E-05,0.002935614,0.0102507,0.0030129,0.0004739633,7.603512E-05,2.284769E-05,0.005144829,0.002403863,0.05296428,1.341367E-05,0.002837588,0.003689496,0.06514929,0,0,0,0,0
11,1.755394E-06,0.003365351,0.003584217,7.37688E-05,0.002938926,0.01028707,0.003049059,0.0004771946,7.74335E-05,2.306045E-05,0.00514543,0.00236273,0.05222354,1.342547E-05,0.002841149,0.00372668,0.06564754,0,0,0,0,0
12,1.77197E-06,0.003378185,0.003621424,7.444072E-05,0.002941543,0.01031782,0.00308592,0.000479986,7.886269E-05,2.326895E-05,0.005146086,0.002349687,0.05151111,1.343599E-05,0.002844985,0.003777803,0.06612308,0,0,0,0,0
13,1.788742E-06,0.003746407,0.003044919,7.154744E-05,0.002807226,0.009859954,0.002971253,0.0004603471,7.636763E-05,2.238216E-05,0.005146828,0.002331042,0.1241351,2.108387E-05,0.004166884,0.0004345039,0.0569574,0,0,0,0,0
14,1.805751E-06,0.003758487,0.003084146,7.203111E-05,0.002813959,0.009885942,0.002997915,0.0004635361,7.74604E-05,2.260007E-05,0.005147685,0.00232741,0.1181047,2.110171E-05,0.004140318,0.0004541556,0.05767979,0,0,0,0,0
15,1.823028E-06,0.003771044,0.003123742,7.240451E-05,0.002822738,0.009910183,0.003021339,0.0004669366,7.844542E-05,2.282699E-05,0.005148659,0.002326998,0.1125845,2.112688E-05,0.004117517,0.0004744057,0.05842859,0,0,0,0,0
16,1.840619E-06,0.003784026,0.003163659,7.267803E-05,0.002833101,0.009932542,0.00304205,0.0004705301,7.933484E-05,2.306244E-05,0.005149753,0.002328595,0.1075284,2.115651E-05,0.004097969,0.0004950892,0.05920889,0,0,0,0,0
17,1.858584E-06,0.003797389,0.003203855,7.286185E-05,0.002844643,0.009952871,0.003060472,0.0004743076,8.01382E-05,2.330622E-05,0.005150969,0.002330793,0.1028947,2.118789E-05,0.004081247,0.0005159314,0.06002589,0,0,0,0,0
18,1.876988E-06,0.003811094,0.003244289,7.296551E-05,0.002857016,0.009971037,0.003076955,0.0004782673,8.08629E-05,2.355826E-05,0.005152311,0.002332091,0.0986459,2.121824E-05,0.004067003,0.0005365526,0.06088478,0,0,0,0,0
19,1.895907E-06,0.003825109,0.003284927,7.29982E-05,0.002869917,0.009986927,0.003091782,0.000482412,8.151463E-05,2.381868E-05,0.005153781,0.002330993,0.09474816,2.124462E-05,0.004054954,0.000556478,0.06179074,0,0,0,0,0
20,1.915425E-06,0.003839412,0.00332574,7.2969E-05,0.002883082,0.01000046,0.003105183,0.0004867482,8.209774E-05,2.408767E-05,0.005155381,0.002326069,0.09117102,2.126395E-05,0.004044874,0.0005751547,0.06274886,0,0,0,0,0
21,1.935627E-06,0.003853985,0.003366704,7.288683E-05,0.002896276,0.01001159,0.003117347,0.0004912848,8.261539E-05,2.436553E-05,0.005157116,0.002315924,0.08788705,2.127302E-05,0.004036584,0.0005919706,0.06376413,0,0,0,0,0
22,1.956601E-06,0.003868815,0.003407799,7.276038E-05,0.002909296,0.0100203,0.003128426,0.0004960316,8.306991E-05,2.465263E-05,0.005158986,0.002299289,0.08487157,2.126869E-05,0.004029945,0.0006062739,0.06484136,0,0,0,0,0
23,1.978435E-06,0.0038839,0.00344901,7.259804E-05,0.002921962,0.01002661,0.003138546,0.0005009996,8.346292E-05,2.494937E-05,0.005160993,0.002274968,0.08210237,2.124788E-05,0.004024848,0.000617392,0.06598523,0,0,0,0,0
24,2.001214E-06,0.003899237,0.003490328,7.240778E-05,0.002934117,0.01003055,0.003147809,0.0005061995,8.379544E-05,2.52562E-05,0.005163138,0.002241794,0.07955948,2.120775E-05,0.004021214,0.0006246488,0.06720025,0,0,0,0,0
25,2.025327E-06,0.002644561,0.001623903,6.733357E-05,0.002745682,0.009365698,0.002943845,0.0004763492,7.852041E-05,2.38276E-05,0.005165426,0.004006593,0.08023424,2.671433E-05,0.003254586,0.005680576,0.05366923,0,0,0,0,0
26,2.050443E-06,0.002661893,0.00165371,6.712571E-05,0.002751417,0.009388069,0.002951317,0.0004800875,7.89379E-05,2.408857E-05,0.005167864,0.003596812,0.07773099,2.670609E-05,0.003267999,0.00555406,0.05495599,0,0,0,0,0
27,2.076674E-06,0.002679069,0.001683755,6.691155E-05,0.002754383,0.009418498,0.002958162,0.0004833932,7.939586E-05,2.433925E-05,0.005170452,0.003261976,0.0754057,2.671488E-05,0.003280453,0.005433643,0.05624534,0,0,0,0,0
28,2.104046E-06,0.002696158,0.001714044,6.669499E-05,0.002755141,0.009454417,0.002964359,0.0004863317,7.988983E-05,2.458084E-05,0.00517319,0.002988921,0.07324704,2.673701E-05,0.003292179,0.005321846,0.05753199,0,0,0,0,0
29,2.132577E-06,0.002713219,0.00174458,6.647536E-05,0.002754204,0.009493744,0.002969872,0.0004889558,8.041733E-05,2.481425E-05,0.00517608,0.002767875,0.07124361,2.677079E-05,0.003303358,0.005222294,0.05881071,0,0,0,0,0
30,2.16229E-06,0.002730299,0.001775364,6.625149E-05,0.002751987,0.00953484,0.002974673,0.0004913081,8.097739E-05,2.504012E-05,0.00517912,0.002591897,0.06938416,2.681575E-05,0.003314129,0.005139454,0.06007644,0,0,0,0,0
31,2.193215E-06,0.002747439,0.001806396,6.60248E-05,0.002748791,0.009576423,0.002978742,0.0004934228,8.157012E-05,2.525896E-05,0.00518231,0.00245615,0.06765766,2.687213E-05,0.003324595,0.005078378,0.06132431,0,0,0,0,0
32,2.225398E-06,0.002764672,0.001837673,6.579613E-05,0.002744857,0.009617498,0.002982068,0.0004953271,8.219646E-05,2.547107E-05,0.005185653,0.002357173,0.06605355,2.694055E-05,0.003334832,0.005044407,0.06254978,0,0,0,0,0
33,2.258896E-06,0.002782023,0.00186919,6.556592E-05,0.002740377,0.009657294,0.002984655,0.0004970429,8.285789E-05,2.567669E-05,0.005189146,0.002292225,0.06456173,2.702183E-05,0.003344893,0.005042903,0.06374861,0,0,0,0,0
