EwEVersion,"6.6.8.18072 (compiled 11/4/2022)"
Date,"10/17/2023 10:05:32 AM"
ModelName,"NWACS AM 7ages"
EcosimScenario,forcing_pdsi_egg_amo1
TimeSeries,"copyUpdated NWACS MICE 5 v2-1-6-Time series grid"
StartYear,1985

Data,Biomass

year\group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
1985,0.008571171,0.03451547,0.01848044,0.1640456,0.7156837,0.6354228,0.2753773,0.09991508,0.03756397,0.02809947,0.2652522,0.002214359,0.1875136,0.0009583396,0.01084211,0.006317243,0.128389,0.1856899,12.19723,9.716157,7.03721,10.06189
1986,0.009064138,0.03120552,0.01781549,0.03367268,0.4201616,0.6662679,0.3087224,0.1094876,0.04368885,0.03081253,0.2589236,0.0008923038,0.1118721,0.000745768,0.008169123,0.006182977,0.1351468,0.133138,12.27503,9.412388,5.814806,9.44407
1987,0.007740235,0.02839164,0.0171371,0.03328205,0.1333086,0.3336649,0.3098272,0.1172546,0.04583036,0.03382108,0.2511787,0.0004093834,0.05647174,0.0006096057,0.006270623,0.006118654,0.13942,0.08936623,12.1693,10.68557,6.746305,10.50042
1988,0.005991612,0.02490928,0.01536847,0.02129742,0.08153762,0.08866712,0.1153038,0.09005887,0.03792768,0.02887719,0.2378014,0.0004381617,0.03032531,0.0004410508,0.003948567,0.004850827,0.103431,0.0433166,9.481739,5.897057,5.121285,7.065099
1989,0.004511966,0.02167558,0.01380478,0.03975301,0.07868496,0.1153037,0.06599606,0.05588715,0.04757698,0.03902987,0.2285201,0.0004001109,0.02229214,0.0004254407,0.003561511,0.005703941,0.1302948,0.03163937,12.47092,17.33403,12.15483,15.78901
1990,0.003444321,0.02918317,0.01882087,0.2819463,0.4882599,0.1208316,0.1017294,0.04903328,0.05038542,0.07505576,0.2588882,0.0009784402,0.03603491,0.0008772987,0.007289441,0.01884113,0.2764787,0.2239788,20.84722,24.41364,11.88112,19.78041
1991,0.002912752,0.03563444,0.03682543,0.2615768,1.102534,0.290906,0.03573925,0.03002303,0.01730718,0.05022038,0.2751382,0.00211551,0.06929427,0.001370438,0.01180664,0.02308983,0.3426932,0.366508,15.24298,10.12859,5.859299,9.959833
1992,0.009666772,0.02913969,0.04714909,0.06151682,0.4542494,0.6811066,0.1076471,0.009130546,0.008963783,0.02407978,0.2692303,0.001796516,0.07431865,0.0009392135,0.009925812,0.01354098,0.3743553,0.1588858,11.53752,10.44414,8.276274,10.95114
1993,0.02256285,0.03528925,0.05612814,0.06212967,0.2574444,0.5181018,0.4124643,0.04768141,0.005582988,0.02371679,0.2832548,0.00171348,0.0814475,0.001018484,0.01066734,0.02667359,0.6311963,0.2048633,15.55822,15.9295,8.408994,13.97256
1994,0.02555494,0.05219823,0.06280371,0.1084711,0.373134,0.1522156,0.1465542,0.1211399,0.01854111,0.01490696,0.2952505,0.002031704,0.09001645,0.0009161341,0.01033317,0.04132404,0.6335844,0.1614358,13.7729,12.61857,8.04082,12.16398
1995,0.03091526,0.06364312,0.05943539,0.05559359,0.2507976,0.1891322,0.03477987,0.03948055,0.03670124,0.0123032,0.2956654,0.001311592,0.08636055,0.0005288402,0.007401657,0.02065202,0.4923411,0.07297132,10.36763,6.57296,5.615631,7.561049
1996,0.03009303,0.0721224,0.05110446,0.1014346,0.2152271,0.3076859,0.09751841,0.01611591,0.01986405,0.03393847,0.3015714,0.001113209,0.07846361,0.0005911068,0.00676303,0.02775161,0.6919815,0.07292374,15.78704,23.08024,14.2556,19.81476
1997,0.03419422,0.0956342,0.06203208,0.4113065,0.7260671,0.1452192,0.096697,0.03348742,0.008770303,0.03598755,0.3393367,0.002678478,0.1032342,0.001001999,0.00984176,0.06472278,0.8986948,0.2471575,18.31302,16.24241,7.387875,13.84134
1998,0.03332951,0.101772,0.081558,0.1519267,1.145824,0.5778481,0.0244791,0.02081071,0.01112341,0.02061712,0.3573825,0.003359741,0.1252199,0.0008970284,0.009931819,0.05291221,1.020355,0.2124034,15.73914,16.3719,9.582171,14.90016
1999,0.04061667,0.1016911,0.09594526,0.05747813,0.2444556,0.3546145,0.06194003,0.004629926,0.005495233,0.01167966,0.364689,0.002125041,0.1345592,0.0005361372,0.006863259,0.03088191,0.7106045,0.09866673,10.67302,6.483175,6.019795,7.549955
2000,0.04165051,0.0895656,0.09044057,0.06089513,0.1910461,0.1732906,0.07850499,0.01994302,0.001743703,0.009918909,0.3625907,0.001284393,0.1129906,0.0004286146,0.004717561,0.0302047,0.7655518,0.05658384,13.67877,16.41575,9.692698,14.81783
2001,0.03996294,0.09427599,0.09159227,0.1189544,0.2928527,0.05906154,0.01798753,0.01719887,0.005961027,0.006428806,0.3687131,0.001336091,0.1006249,0.0004387808,0.004311699,0.04475312,0.6734341,0.05445435,13.37829,10.95858,6.522591,10.59466
2002,0.03604101,0.08314944,0.07879547,0.01256918,0.1227755,0.03340237,0.001321385,0.0011102,0.003111386,0.003213299,0.3521911,0.0009426526,0.08228285,0.0002285899,0.002745473,0.01153386,0.3614495,0.02003887,8.162083,3.674609,3.843968,4.688995
2003,0.0250442,0.06985924,0.06282643,0.009971765,0.04389927,0.03911047,0.001676335,9.467304E-05,0.0002991162,0.004672215,0.3429174,0.001272962,0.0693815,0.0003293711,0.003489438,0.01788873,0.5390717,0.02065895,15.08666,23.91054,14.40671,20.23083
2004,0.02218349,0.07874885,0.07056466,0.03054091,0.07255407,0.00537497,0.0007490346,4.613303E-05,3.951614E-05,0.003917091,0.375051,0.002026847,0.0841563,0.0007216631,0.006087946,0.06438578,0.7350094,0.1201349,20.68981,23.15657,11.64091,18.96609
2005,0.01974558,0.08045836,0.09685814,0.01500603,0.1583854,0.03136609,7.057181E-05,1.748102E-05,7.152521E-06,0.001675103,0.3972524,0.002856258,0.1148999,0.0008956378,0.009211307,0.05809596,0.8987067,0.2348315,17.60568,15.98582,8.861192,14.16757
2006,0.02749324,0.08132512,0.128132,0.0224938,0.09046385,0.07131577,0.003801436,1.049448E-05,5.001844E-06,0.0007409031,0.4126835,0.003483352,0.1427706,0.001055786,0.01086507,0.05894743,1.076502,0.2658094,17.34778,20.99826,12.49926,18.20385
2007,0.05465372,0.09666347,0.1738244,0.05285408,0.156895,0.04327739,0.01014103,0.0005652346,3.105846E-06,0.0003537424,0.4423681,0.006321592,0.1919436,0.001433549,0.01480651,0.07517552,1.173805,0.4314507,17.21127,14.7807,6.406877,12.56973
2008,0.06473013,0.09913602,0.158848,0.01533631,0.1584809,0.09689435,0.004829999,0.001377479,0.0001553189,0.0001125513,0.4350248,0.003768845,0.1795022,0.0005684551,0.009703248,0.0308257,0.7292295,0.110374,11.35878,10.60982,8.564672,10.99094
2009,0.07404631,0.1134715,0.1231369,0.03682566,0.07203173,0.1484221,0.03508939,0.001696707,0.0007162022,0.0001722184,0.4341432,0.001907406,0.1486485,0.0006106194,0.007597264,0.04577379,0.8113582,0.09914386,15.47128,19.30604,11.77196,16.89536
2010,0.07084683,0.1436274,0.1126293,0.1357375,0.3578359,0.05677928,0.05312477,0.01163074,0.0009179327,0.000698936,0.4585426,0.003405071,0.1579295,0.0009770043,0.01110663,0.0708423,1.039611,0.3023115,19.29303,20.04926,9.281236,16.46218
2011,0.05517824,0.1455974,0.1135397,0.08750633,0.5442494,0.2940403,0.01240664,0.0116286,0.003795759,0.0007218688,0.4595943,0.003509725,0.1644095,0.0007531529,0.01053339,0.05213067,0.9107856,0.1721618,14.20341,14.318,10.12784,13.8124
2012,0.06100808,0.1368271,0.122152,0.07578855,0.293391,0.3947821,0.07589123,0.003599478,0.004893287,0.002032872,0.4613839,0.002158972,0.1611971,0.0006153631,0.008953474,0.03947103,0.8894238,0.1304172,13.18592,9.297022,4.99848,8.985152
2013,0.04778549,0.1122551,0.1082662,0.04134006,0.2372704,0.1960718,0.09498336,0.02290232,0.001235353,0.00312898,0.4396869,0.001181245,0.132676,0.0003454114,0.00561368,0.02312808,0.5748169,0.04282628,11.35344,11.43021,8.233901,11.52938
2014,0.04294924,0.09723882,0.0971429,0.1645478,0.2534173,0.2208235,0.09127315,0.04358217,0.01205339,0.00323445,0.4280315,0.001227899,0.1162845,0.0004517657,0.005447105,0.03119348,0.5691181,0.04056169,13.78382,13.59533,8.176253,12.63424
2015,0.02871644,0.08575761,0.08666994,0.153392,0.5597528,0.1815453,0.06920068,0.02750139,0.01653251,0.006441368,0.4119293,0.001083179,0.1022069,0.0004020419,0.0049148,0.02637944,0.4346951,0.02954225,12.12795,9.100242,6.10724,9.418818
2016,0.01880609,0.06496234,0.0673622,0.05530154,0.2986331,0.3541628,0.06041479,0.01995426,0.009383797,0.00894572,0.3843544,0.0007322601,0.08379424,0.000288954,0.003810935,0.01119558,0.2953283,0.01357019,9.932509,6.347074,4.740965,7.228656
2017,0.01110848,0.04411627,0.047313,0.01957429,0.09459262,0.18919,0.129284,0.02098053,0.007034667,0.007522119,0.3504266,0.0005196226,0.05909275,0.0002293284,0.002902637,0.005620314,0.1828453,0.005186146,8.795369,7.448746,6.304638,8.370624
