EwEVersion,"6.6.8.18072 (compiled 11/4/2022)"
Date,"10/17/2023 10:05:33 AM"
ModelName,"NWACS AM 7ages"
EcosimScenario,forcing_pdsi_egg_amo1
TimeSeries,"copyUpdated NWACS MICE 5 v2-1-6-Time series grid"
StartYear,1985

Data,Catch

year\group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
1985,1.613347E-06,0.003083974,0.003211857,3.999367E-05,0.002107276,0.007892714,0.002332222,0.0003737936,5.935786E-05,1.855099E-05,0.005023672,0.002410477,0.05304959,1.041691E-05,0.002407349,0.002852914,0.05071629,0,0,0,0,0
1986,1.706138E-06,0.003082618,0.00257018,7.82297E-06,0.001178921,0.007886427,0.002491597,0.0003903315,6.578777E-05,1.93849E-05,0.004903813,0.0009668146,0.08032419,1.271616E-05,0.002676367,0.0003071164,0.04541975,0,0,0,0,0
1987,1.45694E-06,0.001889563,0.001129302,7.211322E-06,0.0003488486,0.00368343,0.00233206,0.0003898604,6.436335E-05,1.984425E-05,0.004757132,0.0008921046,0.04226257,1.3109E-05,0.001655225,0.002827816,0.03652936,0,0,0,0,0
1988,1.127798E-06,0.0008575959,0.002630456,3.581354E-06,0.0001655965,0.0007596601,0.0006735634,0.0002323916,4.133863E-05,1.314972E-05,0.004503775,0.0002567549,0.02186123,1.110128E-05,0.002118809,0.0002605449,0.03198083,0,0,0,0,0
1989,8.492851E-07,0.0004069171,0.0006037788,1.394615E-05,0.0003333886,0.00206094,0.0008043005,0.0003008648,0.0001081838,3.707869E-05,0.004327995,0.0003019747,0.008367104,1.257436E-05,0.00144749,0.0001174221,0.03485212,0,0,0,0,0
1990,6.483228E-07,0.0002730969,0.0004853136,0.001327406,0.02776275,0.02898379,0.01663792,0.003542442,0.001537527,0.0009568934,0.004903145,0.0004270871,0.01583755,7.277557E-05,0.001389805,0.0001671927,0.05664597,0,0,0,0,0
1991,5.482657E-07,0.0004605658,0.001170796,0.001058644,0.0538911,0.05998475,0.005024721,0.001864576,0.000454002,0.0005503932,0.005210906,0.001785318,0.03246661,4.344915E-05,0.00382529,8.755431E-05,0.06414574,0,0,0,0,0
1992,1.819572E-06,0.0003925866,0.001925907,0.0003633725,0.03240607,0.2049796,0.022089,0.0008276172,0.0003431863,0.0003851705,0.005099015,0.001099786,0.03347248,1.537036E-05,0.003034128,1.132828E-05,0.07204004,0,0,0,0,0
1993,4.246995E-06,0.0009279607,0.003238734,0.0006328397,0.03167032,0.2688731,0.1459475,0.007452782,0.0003685887,0.0006541738,0.005364629,0.0006496452,0.03569457,6.77176E-06,0.001430953,6.789402E-05,0.1094083,0,0,0,0,0
1994,4.810193E-06,0.00183252,0.005075376,0.001266274,0.05260809,0.09053367,0.05943296,0.02170078,0.00140291,0.000471243,0.005591817,0.000803231,0.03920246,9.938261E-06,0.001164825,9.695997E-05,0.09987602,0,0,0,0,0
