EwEVersion,"6.6.8.18072 (compiled 11/4/2022)"
Date,"10/17/2023 10:05:33 AM"
ModelName,"NWACS AM 7ages"
EcosimScenario,forcing_pdsi_egg_amo1
TimeSeries,"copyUpdated NWACS MICE 5 v2-1-6-Time series grid"
StartYear,1985

Data,Catch

timestep\group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
1,1.603305E-06,0.003237661,0.003240583,6.611329E-05,0.002764675,0.009283525,0.002654957,0.0004120411,6.364642E-05,2.044983E-05,0.005139989,0.004264551,0.06102306,1.312058E-05,0.002806454,0.003612567,0.05902586,0,0,0,0,0
2,1.629998E-06,0.003234843,0.003262412,5.851864E-05,0.002594728,0.00897086,0.002586538,0.0004071532,6.282336E-05,2.011467E-05,0.005130209,0.003848297,0.05980137,1.27264E-05,0.002771216,0.003326141,0.05783945,0,0,0,0,0
3,1.66019E-06,0.003220632,0.003274958,4.979534E-05,0.002359873,0.008464819,0.002473791,0.0003949917,6.110864E-05,1.950922E-05,0.005112424,0.003446264,0.05845972,1.21143E-05,0.00271062,0.002973601,0.05563695,0,0,0,0,0
4,1.692574E-06,0.003193707,0.003275857,4.00952E-05,0.002075806,0.007799776,0.002323259,0.000376474,5.860066E-05,1.866658E-05,0.005086969,0.003054252,0.05697364,1.132977E-05,0.002623929,0.002596884,0.05256162,0,0,0,0,0
5,1.715798E-06,0.003155847,0.003264463,3.326177E-05,0.001817259,0.007152387,0.002171336,0.0003566221,5.598223E-05,1.779207E-05,0.005055266,0.002678104,0.05535626,1.048716E-05,0.002517995,0.00227806,0.04914033,0,0,0,0,0
6,1.71001E-06,0.00310901,0.003243095,3.049661E-05,0.001631655,0.006642621,0.002046079,0.0003394044,5.379551E-05,1.704503E-05,0.005020784,0.002326777,0.05365844,9.704667E-06,0.002402972,0.00210987,0.04596908,0,0,0,0,0
7,1.665056E-06,0.003058859,0.003215763,3.312343E-05,0.001589661,0.006460305,0.001990797,0.0003308778,5.290047E-05,1.66752E-05,0.004986836,0.00201314,0.05196619,9.129715E-06,0.002293918,0.002186007,0.04382109,0,0,0,0,0
8,1.59378E-06,0.003015016,0.003188516,3.82878E-05,0.00170982,0.006701171,0.002035012,0.0003353021,5.392753E-05,1.685468E-05,0.004959889,0.001753079,0.05038846,8.913148E-06,0.002210043,0.002519756,0.04362692,0,0,0,0,0
9,1.533542E-06,0.002980179,0.003165677,3.992032E-05,0.001910416,0.007230029,0.002155693,0.0003497814,5.649632E-05,1.745842E-05,0.004945168,0.001554869,0.0489811,9.010958E-06,0.002157357,0.002976582,0.04532525,0,0,0,0,0
10,1.505125E-06,0.002951792,0.003147779,3.652005E-05,0.002112074,0.007894049,0.002318207,0.0003697373,5.99796E-05,1.829824E-05,0.004941501,0.001412651,0.04773016,9.240859E-06,0.002130351,0.003232028,0.04819322,0,0,0,0,0
11,1.509812E-06,0.002932065,0.003135188,3.100682E-05,0.002321151,0.008739886,0.002529286,0.0003960809,6.454622E-05,1.942021E-05,0.004946542,0.001319581,0.04663073,9.544909E-06,0.00212876,0.003294959,0.05202027,0,0,0,0,0
12,1.540979E-06,0.002918075,0.003127983,2.278478E-05,0.002400195,0.009373133,0.002701713,0.0004170572,6.848743E-05,2.032772E-05,0.004958487,0.001254166,0.04562598,9.680478E-06,0.002134573,0.00312851,0.05543546,0,0,0,0,0
