EwEVersion,"6.6.8.18072 (compiled 11/4/2022)"
Date,"10/17/2023 10:05:32 AM"
ModelName,"NWACS AM 7ages"
EcosimScenario,forcing_pdsi_egg_amo1
TimeSeries,"copyUpdated NWACS MICE 5 v2-1-6-Time series grid"
StartYear,1985

Data,ConsumptionBiomass

year\group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
1985,6.826948,2.590392,1.493773,20.94822,8.871476,5.796467,4.507796,3.83692,3.446814,3.233742,1.608348,13.77514,2.999746,10.6258,3.312745,11.93119,3.297522,5.487319,11.5549,143.2807,0,0
1986,7.11154,2.44819,1.42605,18.45297,9.082459,5.115947,4.049489,3.517851,3.097731,2.992831,1.602945,13.72139,3.208752,9.694439,3.346411,10.14216,3.013903,5.190355,10.76118,135.7126,0,0
1987,7.153646,2.401695,1.37438,17.9207,10.2443,6.817121,4.555543,4.035468,3.616618,3.476833,1.675637,14.03572,3.512679,10.05889,3.480821,10.85702,3.35694,5.833488,11.66594,140.3463,0,0
1988,6.698204,2.075165,1.199261,21.40088,9.244498,5.97964,4.756276,3.231752,2.841985,2.87157,1.412399,11.96959,3.402801,10.57732,3.206933,11.65622,2.730532,3.584007,10.37647,136.2146,0,0
1989,7.580819,2.67284,1.377849,19.04914,12.80428,9.407779,7.803485,7.71167,5.575031,5.740003,2.055268,13.96545,4.064734,10.3744,4.765905,11.36436,4.711994,9.230645,15.62854,167.9366,0,0
1990,6.576189,3.831447,2.424248,15.99523,10.79737,6.549284,5.629603,5.196507,4.925465,4.078884,2.51773,11.50409,5.45809,8.478889,4.578823,9.300741,3.723238,12.31871,13.57346,152.94,0,0
1991,7.328007,3.444542,2.60032,20.36166,6.793744,4.498573,3.382779,2.84089,2.605386,2.286782,1.818917,11.01866,4.868983,9.221294,3.971296,10.84131,2.914812,5.62064,10.04284,134.8324,0,0
1992,7.765278,2.945556,1.647813,20.32617,12.2599,6.688573,5.66197,4.831994,4.3056,3.953797,1.764783,12.92445,3.806941,11.29676,3.364551,12.00996,3.929125,5.927498,12.68039,156.9921,0,0
1993,7.473946,3.448939,2.123335,16.56687,9.943177,7.253225,5.01237,4.787074,4.556339,4.347355,2.174473,12.00295,4.412866,8.938521,3.849615,9.514401,3.557369,8.260162,12.34472,142.0788,0,0
1994,7.082952,2.777506,1.922952,18.69351,9.726765,6.648147,6.101349,4.056516,3.829777,4.206831,1.999848,12.34032,4.037908,10.61566,3.355926,11.10612,3.370447,6.85471,12.23864,150.913,0,0
