EwEVersion,"6.6.8.18072 (compiled 11/4/2022)"
Date,"10/17/2023 10:05:33 AM"
ModelName,"NWACS AM 7ages"
EcosimScenario,forcing_pdsi_egg_amo1
TimeSeries,"copyUpdated NWACS MICE 5 v2-1-6-Time series grid"
StartYear,1985

Data,AvgWeightOrProdCons

year\group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
1985,0.003104075,0.08338181,0.4299819,0.005100014,0.04177397,0.1235471,0.2374883,0.3604012,0.4677197,0.6091228,0.1773481,0.0009907455,0.1466493,0.002296154,0.06645127,0.002895165,0.102305,0.3000136,0.1950089,0.2965718,0,0
1986,0.003624016,0.070358,0.3754046,0.002723433,0.06375869,0.1381001,0.2266055,0.3333947,0.4242677,0.5573568,0.1773481,0.0007440884,0.1855673,0.002329371,0.06820715,0.002428339,0.1219329,0.3000136,0.1950089,0.2965718,0,0
1987,0.003850291,0.05987588,0.3180645,0.00283045,0.06561501,0.1956285,0.2444218,0.3015468,0.3735752,0.4873455,0.1773481,0.0006025574,0.2427103,0.00252502,0.06506225,0.00271125,0.1187289,0.3000136,0.1950089,0.2965718,0,0
1988,0.004076318,0.05335784,0.2614632,0.002468729,0.04821773,0.1544077,0.2492193,0.2449545,0.2629679,0.3454401,0.1773481,0.0007535851,0.2376832,0.002668783,0.05298738,0.002638858,0.09389877,0.3000136,0.1950089,0.2965718,0,0
1989,0.005340029,0.05172143,0.2086818,0.001723107,0.08209147,0.2552469,0.421048,0.4777264,0.3648174,0.3902346,0.1773481,0.001128673,0.1552486,0.003236262,0.07127107,0.003007559,0.1371088,0.3000136,0.1950089,0.2965718,0,0
1990,0.005021978,0.08563004,0.2344277,0.002531907,0.07433603,0.4932992,0.8820665,1.171528,1.042735,0.7396166,0.1773481,0.001534238,0.2522048,0.002584773,0.1098303,0.002667848,0.2177099,0.3000136,0.1950089,0.2965718,0,0
1991,0.001201237,0.1450116,0.3877629,0.003526178,0.0379539,0.1950146,0.6508721,0.9662382,1.136338,0.7203763,0.1773481,0.001565254,0.2734189,0.002502472,0.07042165,0.003064316,0.08858898,0.3000136,0.1950089,0.2965718,0,0
1992,0.001570801,0.1519102,0.4548508,0.004060437,0.05089323,0.09508883,0.2512764,0.6382278,0.8221929,0.6367361,0.1773481,0.0013909,0.1687589,0.00256616,0.0514926,0.002816967,0.08841779,0.3000136,0.1950089,0.2965718,0,0
1993,0.002789494,0.09554148,0.5360749,0.001992804,0.08967412,0.2418711,0.3040882,0.5787209,1.138896,1.05964,0.1773481,0.001419244,0.2037201,0.002476234,0.07734209,0.002082354,0.1814634,0.3000136,0.1950089,0.2965718,0,0
1994,0.002424348,0.06557781,0.6415266,0.003207582,0.05940054,0.2503834,0.4094016,0.4294782,0.7029454,1.176529,0.1773481,0.001322864,0.2122522,0.002355444,0.0675788,0.003286558,0.1159665,0.3000136,0.1950089,0.2965718,0,0
1995,0.002691011,0.05529812,0.7025537,0.0032265,0.04405066,0.1454185,0.3490533,0.4361469,0.4058072,0.7948802,0.1773481,0.001021491,0.1962277,0.002039294,0.06061333,0.002456255,0.08818728,0.3000136,0.1950089,0.2965718,0,0
1996,0.002988866,0.04724149,0.6956711,0.001544948,0.1060611,0.3008739,0.534909,0.8530602,0.8586407,0.7783088,0.1773481,0.001035623,0.2296527,0.002552637,0.09167138,0.002557526,0.1808809,0.3000136,0.1950089,0.2965718,0,0
1997,0.003180017,0.05556395,0.7159204,0.003381999,0.0445708,0.3976142,0.7347734,1.086304,1.452462,1.126217,0.1773481,0.001375338,0.3073125,0.002288346,0.1008969,0.00273671,0.1628631,0.3000136,0.1950089,0.2965718,0,0
1998,0.002459977,0.05846778,0.6620247,0.004086831,0.05716081,0.1468281,0.6052808,0.9452729,1.185066,1.238584,0.1773481,0.001508642,0.2105411,0.002470487,0.0758732,0.003314931,0.1092738,0.3000136,0.1950089,0.2965718,0,0
1999,0.002428155,0.0554076,0.6281591,0.002857283,0.04159732,0.1180989,0.2284661,0.6536669,0.8430269,1.032432,0.1773481,0.001059221,0.186472,0.002061082,0.06658663,0.002422271,0.09274278,0.3000136,0.1950089,0.2965718,0,0
2000,0.002799751,0.04443914,0.4792372,0.002030796,0.08465887,0.2486039,0.4405981,0.606854,1.019757,1.366885,0.1773481,0.0009210855,0.2111786,0.002472004,0.08697855,0.002434604,0.1513795,0.3000136,0.1950089,0.2965718,0,0
2001,0.002938931,0.04184205,0.428616,0.003880669,0.04763006,0.2471734,0.517938,0.7555296,0.9096929,1.629437,0.1773481,0.0009215823,0.2636883,0.002413364,0.07635016,0.002984754,0.1258975,0.3000136,0.1950089,0.2965718,0,0
2002,0.003102051,0.03707497,0.3505124,0.002290109,0.03267748,0.0884488,0.2921085,0.4815587,0.6043724,0.9622771,0.1773481,0.0007893004,0.2576034,0.002243099,0.0560208,0.001780805,0.06577864,0.3000136,0.1950089,0.2965718,0,0
2003,0.003434886,0.03281495,0.2623115,0.002515849,0.1137918,0.3238764,0.5598996,0.9239101,1.157047,1.778212,0.1773481,0.001184012,0.2615083,0.002746195,0.1230573,0.002310729,0.1826491,0.3000136,0.1950089,0.2965718,0,0
